"county_id","precinct_desc","party_cd","Voted","N"
32,"PRECINCT 08-03","DEM",TRUE,2
32,"TRENT WOODS","DEM",TRUE,1
32,"PCT 109","UNA",TRUE,1
32,"PCT 127","REP",TRUE,1
32,"PCT 124","DEM",TRUE,1
32,"PCT 010","DEM",TRUE,1
32,"PRECINCT 11-02","DEM",TRUE,1
32,"PCT 211","DEM",TRUE,1
32,"WEAVER DAIRY","UNA",TRUE,2
32,"PCT 222","DEM",TRUE,1
32,"PINEHURST A1","DEM",TRUE,1
32,"PRECINCT 07-10","DEM",TRUE,1
32,"PRECINCT 16-02","DEM",TRUE,1
32,"NORTH CARRBORO","DEM",TRUE,1
32,"ESTES HILLS","UNA",TRUE,2
32,"OWASA","DEM",TRUE,1
32,"G35","UNA",TRUE,1
32,"NORTH MELVILLE","REP",TRUE,2
32,"ST MARYS","REP",TRUE,2
32,"ENO","DEM",TRUE,2
32,"CEDAR FALLS","DEM",TRUE,1
32,"COLES STORE","DEM",TRUE,1
32,"COLONIAL HEIGHTS","DEM",TRUE,1
32,"ESTES HILLS","DEM",TRUE,1
32,"CEDAR FALLS","REP",TRUE,1
32,"KINGS MILL","DEM",TRUE,1
32,"EAST FRANKLIN","DEM",TRUE,2
32,"ROXBORO CENTRAL","UNA",TRUE,1
32,"PRECINCT 01-32","DEM",TRUE,1
32,"LINCOLN","UNA",TRUE,1
32,"HOGAN FARMS","REP",TRUE,1
32,"DOGWOOD ACRES","LIB",TRUE,1
32,"CHEEKS","DEM",TRUE,1
32,"NEW RIVER III","LIB",TRUE,1
32,"LIONS CLUB","DEM",TRUE,2
32,"CARRBORO","UNA",TRUE,1
32,"ORANGE GROVE","DEM",TRUE,1
32,"PRECINCT 01-49","UNA",TRUE,3
32,"SOUTH WEST","UNA",TRUE,1
32,"GREENVILLE #7B","UNA",TRUE,1
32,"GREENVILLE #11A","UNA",TRUE,1
32,"ASHEBORO WEST","UNA",TRUE,1
32,"TRINITY","UNA",TRUE,1
32,"PRECINCT 08-03","UNA",TRUE,1
32,"PRECINCT 08-03","REP",TRUE,1
32,"PRECINCT 01-20","UNA",TRUE,2
32,"PRECINCT 05-05","REP",TRUE,5
32,"PRECINCT 17-07","REP",TRUE,1
32,"PRECINCT 01-14","UNA",TRUE,1
32,"PRECINCT 05-03","DEM",TRUE,1
32,"PRECINCT 18-05","DEM",TRUE,1
32,"PRECINCT 01-23","UNA",TRUE,1
32,"PRECINCT 12-07","UNA",TRUE,1
32,"PRECINCT 05-05","UNA",TRUE,1
32,"PRECINCT 08-04","REP",TRUE,2
32,"PRECINCT 17-11","DEM",TRUE,1
32,"PRECINCT 06-04","REP",TRUE,1
32,"PRECINCT 05-08","UNA",TRUE,1
32,"PRECINCT 07-01","REP",TRUE,1
32,"PRECINCT 14-01","UNA",TRUE,1
32,"PRECINCT 02-05","REP",TRUE,1
32,"PRECINCT 02-02","REP",TRUE,2
32,"EN03","DEM",TRUE,1
32,"PRECINCT 07-09","DEM",TRUE,1
32,"PRECINCT 08-04","DEM",TRUE,1
32,"PRECINCT 20-04","REP",TRUE,1
32,"PRECINCT 05-06","UNA",TRUE,1
32,"G22","DEM",TRUE,1
32,"PRECINCT 05-01","UNA",TRUE,1
32,"PRECINCT 20-08","UNA",TRUE,1
32,"PRECINCT 18-01","DEM",TRUE,1
32,"PRECINCT 08-04","UNA",TRUE,1
32,"SUM1","REP",TRUE,1
32,"WELCOME #82","DEM",TRUE,1
32,"PIEDMONT NORTH","UNA",TRUE,1
32,"PRECINCT 05-07","UNA",TRUE,1
32,"PRECINCT 16-02","UNA",TRUE,1
32,"PRECINCT 08-07","UNA",TRUE,1
32,"PRECINCT 04-13","UNA",TRUE,1
32,"PCT 143","DEM",TRUE,1
32,"PRECINCT 19-16","UNA",TRUE,1
32,"PRECINCT 17-08","UNA",TRUE,1
32,"PRECINCT 04-11","REP",TRUE,1
32,"WILDWOOD","UNA",TRUE,1
32,"PRECINCT 20-11","UNA",TRUE,1
32,"PRECINCT 08-11","REP",TRUE,1
32,"PRECINCT 02-06","REP",TRUE,2
32,"PRECINCT 08-09","UNA",TRUE,1
32,"PRECINCT 19-12","REP",TRUE,1
32,"PRECINCT 19-10","UNA",TRUE,1
32,"PRECINCT 05-03","REP",TRUE,1
32,"CREEDMOOR","UNA",TRUE,1
32,"BLOWING ROCK","REP",TRUE,1
32,"PRECINCT 01-36","REP",TRUE,1
